Date/Time,Area,Sub Area,Object,Text,suggested Action
,,,,Set train dwell and trip time
18/10/2024 17:12:12,WCUTTS,WCUTTS,TRAIN28,Record required command from terminal ADM
,,,,Set train dwell and trip time
18/10/2024 17:12:17,WCUTTS,WCUTTS,TRAIN4,Record required command from terminal ADM
,,,,Set train dwell and trip time
18/10/2024 17:12:30,SHT,SHT,1522-1510,Record required command from terminal TC2-OCC
,,,,Set route
18/10/2024 17:12:33,WCUTTS,WCUTTS,TRAIN26,Record required command from terminal ADM
18/10/2024 17:12:34,WCUTTS,WCUTTS,TRAIN20,Record required command from terminal ADM
,,,,Set train dwell and trip time
18/10/2024 17:12:36,WCUTTS,WCUTTS,TRAIN21,Record required command from terminal ADM
18/10/2024 17:12:43,WCUTTS,WCUTTS,TRAIN7,Record required command from terminal ADM
18/10/2024 17:12:44,WCUTTS,WCUTTS,TRAIN13,Record required command from terminal ADM
18/10/2024 17:12:44,WCUTTS,WCUTTS,TRAIN13,Record required command from terminal ADM
,,,,Set train dwell and trip time
18/10/2024 17:12:46,WCUTTS,WCUTTS,TRAIN1O,Record required command from terminal ADM
,,,,Set train dwell and trip time
18/10/2024 17:12:50,WCUTTS,WCUTTS,TRAIN34,Record required command from terminal ADM
18/10/2024 17:12:56,WCUTTS,WCUTTS,TRAIN33,Record required command from terminal ADM
18/10/2024 17:12:57,WCUTTS,WCUTTS,TRAIN35,Record required command from terminal ADM
18/10/2024 17:12:57,WCUTTS,WCUTTS,TRAIN5,Record required command from terminal ADM
,,,,Set train dwell and trip time
18/10/2024 17:12:57,WCUTTS,WCUTTS,TRAIN5,Record required command from terminal ADM
,,,,Set train dwell and trip time
18/10/2024 17:13:04,WCUTTS,WCUTTS,TRAIN17,Record required command from terminal ADM
,,,,Set train dwell and trip time
18/10/2024 17:13:09,WCUTTS,WCUTTS,TRAIN23,Record required command from terminal ADM
18/10/2024 17:13:10,WCUTTS,WCUTTS,TRAIN32,Record required command from terminal ADM
18/10/2024 17:13:13,WCUTTS,WCUTTS,TRAIN37,Record required command from terminal ADM
